tree_id,site,status,health,root_stone,latitude,longitude
6940,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
516758,Nearby,Alive,Good,No,>40.76000,>-73.89000
566705,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
721305,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
25085,Side,Alive,Good,No,<40.63000,-74.07000...-73.89000
98801,Front,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
353845,Front,Alive,Good,Yes,<40.63000,<-74.07000
680506,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
427885,Front,Alive,Good,No,>40.76000,>-73.89000
595606,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
273975,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
691878,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
574957,Front,Stump,Dead,No,40.63000...40.76000,>-73.89000
74474,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
185415,Front,Alive,Good,Yes,>40.76000,>-73.89000
674107,Side,Stump,Dead,No,40.63000...40.76000,-74.07000...-73.89000
701534,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
434705,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
301347,Front,Dead,Dead,No,40.63000...40.76000,-74.07000...-73.89000
17525,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
342110,Front,Alive,Good,No,<40.63000,<-74.07000
421085,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
141122,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
38502,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
9847,Front,Alive,Poor,No,>40.76000,>-73.89000
82318,Front,Alive,Fair,No,>40.76000,-74.07000...-73.89000
219868,Nearby,Alive,Good,Yes,40.63000...40.76000,>-73.89000
696552,Front,Alive,Fair,No,40.63000...40.76000,>-73.89000
699839,Side,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
403109,Front,Alive,Good,No,40.63000...40.76000,<-74.07000
503851,Front,Alive,Good,No,>40.76000,>-73.89000
52892,Front,Alive,Good,No,<40.63000,<-74.07000
660651,Nearby,Alive,Good,Yes,40.63000...40.76000,>-73.89000
506677,Front,Alive,Good,No,>40.76000,>-73.89000
358537,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
488985,Front,Alive,Fair,Yes,>40.76000,-74.07000...-73.89000
642617,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
151404,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
527841,Side,Alive,Good,Yes,<40.63000,-74.07000...-73.89000
589426,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
70644,Nearby,Alive,Good,No,<40.63000,<-74.07000
583586,Front,Dead,Dead,No,40.63000...40.76000,-74.07000...-73.89000
288287,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
625247,Rear,Alive,Good,No,<40.63000,>-73.89000
374924,Front,Alive,Fair,No,>40.76000,-74.07000...-73.89000
155777,Nearby,Alive,Good,No,>40.76000,>-73.89000
89077,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
254202,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
700800,Nearby/Side,Alive,Good,No,<40.63000,-74.07000...-73.89000
55581,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
111925,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
396640,Front,Alive,Good,Yes,>40.76000,>-73.89000
344889,Front,Alive,Good,No,40.63000...40.76000,<-74.07000
476558,Front,Alive,Fair,No,40.63000...40.76000,>-73.89000
589675,Front,Alive,Poor,No,>40.76000,>-73.89000
565648,Front,Alive,Good,Yes,>40.76000,>-73.89000
486442,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
57702,Front,Alive,Fair,No,<40.63000,>-73.89000
412686,Front,Alive,Good,No,>40.76000,>-73.89000
700067,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
116803,Side,Alive,Good,No,>40.76000,>-73.89000
556130,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
684492,Nearby,Alive,Good,No,>40.76000,-74.07000...-73.89000
168890,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
388299,Nearby,Alive,Fair,No,>40.76000,>-73.89000
270055,Front,Alive,Good,Yes,<40.63000,-74.07000...-73.89000
318053,Front,Alive,Good,No,<40.63000,<-74.07000
499769,Nearby,Alive,Good,No,<40.63000,<-74.07000
106834,Nearby,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
621763,Side,Alive,Good,No,>40.76000,>-73.89000
367359,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
99692,Front,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
259813,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
436885,Nearby,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
145112,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
191833,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
146062,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
411109,Front,Alive,Good,No,>40.76000,-74.07000...-73.89000
463639,Front,Alive,Fair,No,>40.76000,>-73.89000
505185,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
651700,Side,Alive,Fair,No,>40.76000,-74.07000...-73.89000
4792,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
277221,Side,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
673788,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
232506,Nearby,Alive,Good,Yes,>40.76000,>-73.89000
408629,Side,Alive,Poor,No,>40.76000,>-73.89000
7520,Front,Stump,Stump,No,40.63000...40.76000,>-73.89000
424003,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
15017,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
600784,Front,Alive,Good,No,>40.76000,>-73.89000
211244,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
400429,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
619752,Front,Alive,Good,No,40.63000...40.76000,>-73.89000
323857,Nearby,Alive,Good,No,>40.76000,>-73.89000
251651,Nearby,Alive,Good,Yes,40.63000...40.76000,>-73.89000
68069,Side,Alive,Good,No,40.63000...40.76000,>-73.89000
569380,Front,Alive,Good,No,<40.63000,<-74.07000
384592,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
561034,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
697455,Nearby,Alive,Good,No,<40.63000,<-74.07000
376826,Front,Alive,Poor,No,40.63000...40.76000,<-74.07000
550003,Front,Alive,Good,No,>40.76000,>-73.89000
502204,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
655893,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
128101,Side,Alive,Fair,No,<40.63000,-74.07000...-73.89000
85017,Front,Alive,Fair,No,<40.63000,-74.07000...-73.89000
412148,Side,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
271336,Front,Stump,Stump,No,40.63000...40.76000,>-73.89000
576946,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
87553,Front,Dead,Dead,No,40.63000...40.76000,-74.07000...-73.89000
446742,Front,Alive,Fair,No,40.63000...40.76000,>-73.89000
264421,Front,Alive,Good,Yes,>40.76000,-74.07000...-73.89000
311721,Front,Alive,Good,Yes,40.63000...40.76000,<-74.07000
549977,Front,Alive,Poor,Yes,40.63000...40.76000,-74.07000...-73.89000
137132,Nearby,Alive,Poor,No,<40.63000,<-74.07000
282704,Front,Alive,Fair,Yes,40.63000...40.76000,-74.07000...-73.89000
92459,Side,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
34207,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
398651,Front,Alive,Good,No,<40.63000,<-74.07000
356168,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
31494,Front,Alive,Fair,No,40.63000...40.76000,>-73.89000
667876,Nearby,Alive,Good,No,<40.63000,<-74.07000
505409,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
425743,Front,Alive,Good,No,<40.63000,<-74.07000
386845,Front,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
613386,Front,Alive,Good,Yes,40.63000...40.76000,>-73.89000
30761,Nearby,Stump,Stump,No,40.63000...40.76000,-74.07000...-73.89000
677023,Front,Alive,Good,No,<40.63000,<-74.07000
481618,Front,Alive,Fair,Yes,40.63000...40.76000,-74.07000...-73.89000
37616,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
527272,Nearby,Dead,Dead,No,40.63000...40.76000,>-73.89000
661823,Front,Alive,Fair,No,40.63000...40.76000,>-73.89000
423443,Front,Alive,Good,Yes,>40.76000,>-73.89000
195410,Nearby,Stump,Stump,No,40.63000...40.76000,-74.07000...-73.89000
665034,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
174438,Nearby,Alive,Good,Yes,40.63000...40.76000,>-73.89000
351351,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
191424,Front,Alive,Good,No,>40.76000,-74.07000...-73.89000
369069,Front,Alive,Good,No,<40.63000,>-73.89000
219355,Side,Alive,Good,Yes,40.63000...40.76000,-74.07000...-73.89000
153292,Nearby,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
72636,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
226627,Front,Alive,Good,No,40.63000...40.76000,-74.07000...-73.89000
208688,Side,Alive,Good,No,<40.63000,-74.07000...-73.89000
79842,Front,Alive,Fair,No,>40.76000,>-73.89000
341693,Side,Alive,Good,No,>40.76000,-74.07000...-73.89000
266156,Front,Alive,Good,No,>40.76000,>-73.89000
181367,Nearby,Alive,Fair,No,<40.63000,<-74.07000
527582,Front,Alive,Good,No,>40.76000,-74.07000...-73.89000
116556,Nearby,Alive,Good,No,40.63000...40.76000,>-73.89000
455041,Front,Alive,Good,No,<40.63000,-74.07000...-73.89000
577133,Front,Dead,Dead,No,>40.76000,-74.07000...-73.89000
28848,Side,Alive,Good,No,<40.63000,<-74.07000
299701,Front,Dead,Dead,No,<40.63000,<-74.07000
561636,Front,Alive,Fair,No,40.63000...40.76000,-74.07000...-73.89000
