site,status,health,root_stone,latitude,longitude,,
Front,Alive,Good,No,40.7249925,-73.81991461,,
Front,Alive,Good,No,40.77862159,-73.75035395,,
Front,Alive,Good,No,40.72505737,-73.72886651,,
Side,Alive,Good,No,40.75073791,-73.70727681,,
Adjacent,Alive,Good,No,40.72510524,-73.81382188,,
Front,Stump,Dead,No,40.68772564,-73.75920502,,
Across,Alive,Good,No,40.73615944,-73.98638686,,
Front,Alive,Good,Yes,40.84644193,-73.88769564,,
Side,Stump,Dead,No,40.72202017,-73.90370132,,
Front,Alive,Good,Yes,40.66449275,-73.91691347,,
Front,Alive,Good,No,40.73394261,-73.87849179,,
Front,Dead,Dead,No,40.73481124,-74.00856449,,
Side,Alive,Good,No,40.66777641,-73.97653172,,
Front,Alive,Good,No,40.61858232,-74.12759866,,
Front,Alive,Good,No,40.73931772,-73.79005436,,
Front,Alive,Good,No,40.6893855,-73.96869421,,
Front,Alive,Good,Yes,40.64944745,-73.97188063,,
Front,Alive,Poor,No,40.78383186,-73.78507667,,
Front,Alive,Fair,No,40.82883579,-73.94815476,,
Adjacent,Alive,Good,Yes,40.70233848,-73.82735473,,
Front,Alive,Fair,No,40.73316579,-73.80299578,,
Side,Alive,Good,Yes,40.64583767,-73.95101977,,
Front,Alive,Good,No,40.63877439,-74.07898764,,
Front,Alive,Good,No,40.81951928,-73.85979134,,
Front,Alive,Good,No,40.59981683,-74.16303159,,
Median,Alive,Good,Yes,40.75957435,-73.78594144,,
Front,Alive,Good,No,40.82926849,-73.87040987,,
Adjacent,Alive,Good,No,40.66396793,-73.83721405,,
Front,Alive,Fair,Yes,40.85110943,-73.89344025,,
Front,Alive,Good,No,40.73563268,-73.7497539,,
Front,Alive,Good,No,40.72469161,-73.78270755,,
Side,Alive,Good,Yes,40.62957683,-73.97571038,,
Adjacent,Alive,Good,No,40.74152791,-73.70702481,,
Assigned,Alive,Good,No,40.61083733,-74.18527663,,
Front,Dead,Dead,No,40.70679372,-73.90963594,,
Front,Alive,Good,Yes,40.63398367,-74.00258392,,
